Date,Product,Category,Region,Units_Sold,Cost Price,Revenue,Selling Price,Profit,Profit_Margin
2024-06-07,Smartphone,Electronics,North America,13,275.16,3577.08,2208.11,1932.95,54.04
2024-08-03,Tablet,Electronics,Asia,14,709.65,9935.1,6661.6,5951.95,59.91
2023-09-08,Laptop,Electronics,South America,4,461.6,1846.4,1658.35,1196.75,64.82
2024-01-28,Tablet,Electronics,Europe,18,661.07,11899.26,9172.11,8511.04,71.53
2024-07-20,Router,Accessories,South America,19,281.18,5342.42,3838.75,3557.57,66.59
2023-10-05,Laptop,Electronics,Asia,19,219.14,4163.66,3238.93,3019.79,72.53
2024-05-29,Router,Accessories,North America,2,749.93,1499.86,1139.92,389.99,26.0
2023-08-17,Printer,Accessories,North America,12,134.18,1610.16,1326.38,1192.2,74.04
2023-03-12,Monitor,Accessories,Asia,7,212.34,1486.38,1245.98,1033.64,69.54
2023-12-02,Laptop,Electronics,South America,9,889.38,8004.42,7069.6,6180.22,77.21
2024-01-13,Tablet,Electronics,Asia,17,954.2,16221.4,12228.84,11274.64,69.5
2023-11-08,Router,Accessories,Europe,12,535.07,6420.84,5515.91,4980.84,77.57
2024-01-13,Printer,Accessories,South America,4,357.21,1428.84,944.42,587.21,41.1
2024-07-13,Tablet,Electronics,Europe,15,645.18,9677.7,8473.99,7828.81,80.9
2024-02-24,Laptop,Electronics,Europe,19,619.55,11771.45,10119.6,9500.05,80.7
2023-01-02,Router,Accessories,South America,15,788.08,11821.2,9126.66,8338.58,70.54
2023-04-17,Tablet,Electronics,Europe,13,528.84,6874.92,6179.43,5650.59,82.19
2024-05-18,Laptop,Electronics,Europe,8,868.57,6948.56,5084.57,4216.0,60.67
2023-04-06,Laptop,Electronics,Europe,17,368.59,6266.03,4211.49,3842.9,61.33
2024-02-27,Router,Accessories,Asia,6,330.44,1982.64,1207.9,877.46,44.26
2023-03-28,Printer,Accessories,North America,15,663.93,9958.95,8743.11,8079.18,81.12
2023-05-17,Router,Accessories,South America,16,786.34,12581.44,11056.28,10269.94,81.63
2024-08-29,Printer,Accessories,North America,11,884.84,9733.24,7379.43,6494.59,66.73
2024-11-09,Tablet,Electronics,Europe,16,837.82,13405.12,9383.88,8546.06,63.75
2023-09-25,Smartphone,Electronics,South America,3,289.63,868.89,770.91,481.28,55.39
2023-11-22,Monitor,Accessories,Asia,15,991.49,14872.35,9818.66,8827.17,59.35
2023-03-18,Tablet,Electronics,Europe,17,180.83,3074.11,1846.6,1665.77,54.19
2024-04-05,Monitor,Accessories,Asia,1,162.13,162.13,97.55,-64.58,-39.83
2023-05-04,Printer,Accessories,Asia,8,792.03,6336.24,5053.55,4261.52,67.26
2024-04-07,Smartphone,Electronics,South America,1,861.33,861.33,675.35,-185.98,-21.59
2023-05-03,Laptop,Electronics,Europe,8,459.19,3673.52,3001.06,2541.87,69.19
2023-09-24,Tablet,Electronics,North America,2,105.48,210.96,132.96,27.48,13.03
2024-04-08,Printer,Accessories,Europe,6,369.61,2217.66,1381.73,1012.12,45.64
2024-04-18,Laptop,Electronics,Europe,2,815.06,1630.12,1323.86,508.8,31.21
2023-01-13,Laptop,Electronics,Europe,2,165.61,331.22,238.76,73.15,22.09
2023-07-22,Monitor,Accessories,Asia,15,290.0,4350.0,3736.74,3446.74,79.24
2024-08-19,Printer,Accessories,Asia,3,823.13,2469.39,2170.02,1346.89,54.54
2023-01-23,Laptop,Electronics,Europe,7,528.79,3701.53,2471.91,1943.12,52.5
2023-05-12,Laptop,Electronics,Asia,9,297.35,2676.15,1632.72,1335.37,49.9
2023-02-13,Monitor,Accessories,North America,19,422.03,8018.57,6369.51,5947.48,74.17
2024-08-10,Monitor,Accessories,South America,17,747.81,12712.77,10934.0,10186.19,80.13
2023-01-31,Monitor,Accessories,South America,10,627.28,6272.8,4939.42,4312.14,68.74
2023-12-29,Tablet,Electronics,Europe,18,317.74,5719.32,4656.59,4338.85,75.86
2023-10-14,Monitor,Accessories,Europe,15,597.25,8958.75,6773.27,6176.02,68.94
2024-09-20,Printer,Accessories,Europe,13,925.11,12026.43,9815.93,8890.82,73.93
2024-05-25,Monitor,Accessories,South America,12,547.03,6564.36,4498.44,3951.41,60.19
2024-03-05,Tablet,Electronics,Europe,9,773.78,6964.02,4841.92,4068.14,58.42
2023-01-20,Monitor,Accessories,Asia,17,560.02,9520.34,5846.02,5286.0,55.52
2024-07-11,Monitor,Accessories,Asia,6,906.15,5436.9,4213.49,3307.34,60.83
2024-05-29,Smartphone,Electronics,South America,8,103.44,827.52,557.79,454.35,54.91
2023-07-04,Laptop,Electronics,Asia,11,844.04,9284.44,5932.56,5088.52,54.81
2023-08-13,Laptop,Electronics,Asia,9,858.44,7725.96,5361.85,4503.41,58.29
2023-08-27,Tablet,Electronics,North America,19,918.95,17460.05,12452.43,11533.48,66.06
2024-11-03,Tablet,Electronics,Asia,12,707.63,8491.56,5390.5,4682.87,55.15
2023-02-27,Tablet,Electronics,South America,1,937.15,937.15,799.65,-137.5,-14.67
2023-06-27,Tablet,Electronics,Europe,10,225.2,2252.0,1522.96,1297.76,57.63
2023-11-22,Router,Accessories,Asia,11,699.75,7697.25,6849.12,6149.37,79.89
2023-01-29,Router,Accessories,Asia,12,216.64,2599.68,2087.11,1870.47,71.95
2024-07-09,Smartphone,Electronics,Europe,12,999.52,11994.24,7573.67,6574.15,54.81
2024-09-08,Tablet,Electronics,North America,3,511.93,1535.79,1017.71,505.78,32.93
2024-05-04,Laptop,Electronics,Asia,14,793.7,11111.8,6676.68,5882.98,52.94
2023-07-26,Tablet,Electronics,Asia,7,790.81,5535.67,4013.09,3222.28,58.21
2023-11-28,Laptop,Electronics,North America,13,474.22,6164.86,5029.89,4555.67,73.9
2024-06-22,Smartphone,Electronics,North America,1,816.62,816.62,674.7,-141.92,-17.38
2024-12-22,Router,Accessories,South America,13,365.77,4755.01,3047.87,2682.1,56.41
2023-04-14,Smartphone,Electronics,Asia,7,213.15,1492.05,1225.17,1012.02,67.83
2023-05-20,Tablet,Electronics,South America,6,680.35,4082.1,2933.15,2252.8,55.19
2024-10-26,Smartphone,Electronics,Europe,8,521.34,4170.72,3227.11,2705.77,64.88
2024-12-11,Printer,Accessories,Asia,11,431.01,4741.11,2927.29,2496.28,52.65
2024-11-12,Printer,Accessories,Europe,10,589.43,5894.3,3713.17,3123.74,53.0
2023-11-11,Router,Accessories,Asia,10,113.22,1132.2,808.08,694.86,61.37
2023-07-01,Router,Accessories,North America,2,117.39,234.78,149.63,32.24,13.73
2024-09-08,Smartphone,Electronics,Europe,6,577.84,3467.04,2699.23,2121.39,61.19
2023-04-17,Monitor,Accessories,Europe,11,889.88,9788.68,5995.54,5105.66,52.16
2023-03-21,Tablet,Electronics,Asia,6,786.08,4716.48,3473.57,2687.49,56.98
2024-04-02,Laptop,Electronics,Asia,12,213.0,2556.0,1546.6,1333.6,52.18
2023-09-13,Router,Accessories,North America,15,826.44,12396.6,7885.01,7058.57,56.94
2023-09-20,Laptop,Electronics,North America,6,491.96,2951.76,2065.14,1573.18,53.3
2024-01-31,Monitor,Accessories,South America,1,765.12,765.12,510.32,-254.8,-33.3
2024-02-28,Monitor,Accessories,South America,12,101.22,1214.64,838.03,736.81,60.66
2024-07-13,Monitor,Accessories,North America,4,593.54,2374.16,2050.74,1457.2,61.38
2024-08-14,Router,Accessories,Europe,19,121.24,2303.56,2003.1,1881.86,81.69
2024-04-07,Laptop,Electronics,North America,1,645.53,645.53,443.7,-201.83,-31.27
2023-01-21,Smartphone,Electronics,Asia,13,458.2,5956.6,4115.26,3657.06,61.4
2023-03-17,Smartphone,Electronics,Europe,3,739.12,2217.36,1953.97,1214.85,54.79
2023-04-06,Smartphone,Electronics,South America,12,152.06,1824.72,1619.14,1467.08,80.4
2024-03-17,Router,Accessories,Europe,9,315.24,2837.16,2154.03,1838.79,64.81
2024-03-20,Tablet,Electronics,North America,18,680.13,12242.34,9406.87,8726.74,71.28
2023-12-06,Tablet,Electronics,Europe,9,284.48,2560.32,2093.54,1809.06,70.66
2024-12-14,Printer,Accessories,Asia,7,226.72,1587.04,1248.56,1021.84,64.39
2023-11-01,Tablet,Electronics,North America,10,383.63,3836.3,2619.7,2236.07,58.29
2024-02-07,Printer,Accessories,South America,13,830.01,10790.13,8532.69,7702.68,71.39
2023-03-31,Smartphone,Electronics,South America,1,410.67,410.67,359.44,-51.23,-12.47
2023-04-10,Laptop,Electronics,Europe,15,154.57,2318.55,1871.07,1716.5,74.03
2024-10-15,Smartphone,Electronics,North America,17,937.55,15938.35,11940.91,11003.36,69.04
2023-04-29,Smartphone,Electronics,South America,9,502.91,4526.19,2898.04,2395.13,52.92
2024-05-15,Router,Accessories,Asia,18,371.73,6691.14,5542.45,5170.72,77.28
2024-10-19,Printer,Accessories,South America,14,168.62,2360.68,1610.95,1442.33,61.1
2024-04-01,Laptop,Electronics,Asia,3,249.17,747.51,548.42,299.25,40.03
2024-04-21,Smartphone,Electronics,Europe,12,907.91,10894.92,8741.05,7833.14,71.9
2024-07-31,Laptop,Electronics,Europe,17,983.07,16712.19,14003.86,13020.79,77.91
2023-03-29,Router,Accessories,Asia,11,452.67,4979.37,3972.21,3519.54,70.68
2023-03-04,Monitor,Accessories,South America,16,466.01,7456.16,6605.46,6139.45,82.34
2024-12-04,Monitor,Accessories,Europe,12,333.59,4003.08,2926.65,2593.06,64.78
2023-11-03,Laptop,Electronics,South America,19,258.49,4911.31,3262.03,3003.54,61.16
2024-04-04,Tablet,Electronics,Europe,19,758.91,14419.29,10187.41,9428.5,65.39
2023-07-17,Tablet,Electronics,North America,17,964.12,16390.04,12398.05,11433.93,69.76
2023-03-22,Router,Accessories,South America,2,970.35,1940.7,1393.11,422.76,21.78
2024-10-04,Tablet,Electronics,Asia,10,529.21,5292.1,4315.7,3786.49,71.55
2023-03-10,Laptop,Electronics,South America,15,308.84,4632.6,3416.41,3107.57,67.08
2024-02-11,Printer,Accessories,Asia,17,246.43,4189.31,3223.78,2977.35,71.07
2024-06-16,Monitor,Accessories,North America,12,110.89,1330.68,802.02,691.13,51.94
2024-08-24,Printer,Accessories,South America,5,439.29,2196.45,1681.6,1242.31,56.56
2024-08-25,Printer,Accessories,North America,8,863.24,6905.92,5653.59,4790.35,69.37
2024-07-30,Laptop,Electronics,Asia,5,321.23,1606.15,1157.76,836.53,52.08
2023-12-19,Monitor,Accessories,Asia,12,696.19,8354.28,5309.57,4613.38,55.22
2024-11-01,Monitor,Accessories,South America,9,238.43,2145.87,1924.9,1686.47,78.59
2023-06-26,Smartphone,Electronics,South America,2,993.93,1987.86,1219.5,225.57,11.35
2024-09-25,Printer,Accessories,South America,7,434.55,3041.85,2183.25,1748.7,57.49
2024-02-10,Smartphone,Electronics,Europe,3,151.93,455.79,334.24,182.31,40.0
2023-12-12,Smartphone,Electronics,Asia,18,690.97,12437.46,8359.46,7668.49,61.66
2024-05-18,Router,Accessories,North America,13,976.94,12700.22,7724.98,6748.04,53.13
2023-05-18,Smartphone,Electronics,South America,11,776.59,8542.49,5711.58,4934.99,57.77
2023-10-03,Router,Accessories,South America,1,257.7,257.7,221.63,-36.07,-14.0
2024-10-23,Laptop,Electronics,Europe,13,302.4,3931.2,2867.47,2565.07,65.25
2023-08-05,Monitor,Accessories,South America,11,606.99,6676.89,4862.45,4255.46,63.73
2024-01-18,Laptop,Electronics,Europe,12,782.9,9394.8,6433.08,5650.18,60.14
2023-11-15,Router,Accessories,South America,7,904.68,6332.76,5597.76,4693.08,74.11
2023-07-17,Tablet,Electronics,North America,10,900.0,9000.0,6870.17,5970.17,66.34
2023-02-03,Monitor,Accessories,North America,13,632.02,8216.26,5388.56,4756.54,57.89
2024-12-22,Tablet,Electronics,Asia,19,634.42,12053.98,7351.03,6716.61,55.72
2024-04-20,Printer,Accessories,South America,14,164.04,2296.56,1425.48,1261.44,54.93
2024-11-28,Laptop,Electronics,Europe,15,891.55,13373.25,9869.47,8977.92,67.13
2024-05-15,Printer,Accessories,South America,15,829.79,12446.85,10589.13,9759.34,78.41
2024-04-30,Printer,Accessories,Asia,4,724.26,2897.04,2408.42,1684.16,58.13
2023-06-17,Smartphone,Electronics,North America,10,842.31,8423.1,6356.9,5514.59,65.47
2023-01-29,Monitor,Accessories,North America,17,585.19,9948.23,6811.97,6226.78,62.59
2024-08-08,Tablet,Electronics,Europe,13,133.81,1739.53,1110.45,976.64,56.14
2024-11-24,Tablet,Electronics,Asia,9,100.01,900.09,652.54,552.53,61.39
2024-06-09,Laptop,Electronics,North America,6,149.17,895.02,798.29,649.12,72.53
2023-05-16,Router,Accessories,Europe,7,283.22,1982.54,1195.53,912.31,46.02
2023-01-09,Tablet,Electronics,Asia,3,894.46,2683.38,1651.81,757.35,28.22
2023-11-09,Router,Accessories,Asia,4,970.16,3880.64,2589.5,1619.34,41.73
2024-01-21,Smartphone,Electronics,South America,4,767.71,3070.84,2624.12,1856.41,60.45
2023-08-12,Monitor,Accessories,Asia,18,906.44,16315.92,13793.61,12887.17,78.99
2024-06-07,Router,Accessories,Asia,16,911.75,14588.0,12283.21,11371.46,77.95
2024-10-24,Printer,Accessories,Asia,7,298.44,2089.08,1731.31,1432.87,68.59
2024-12-01,Laptop,Electronics,South America,8,694.91,5559.28,3466.42,2771.51,49.85
2023-12-11,Smartphone,Electronics,Asia,10,738.39,7383.9,4800.99,4062.6,55.02
2023-09-25,Router,Accessories,Asia,9,341.96,3077.64,2426.81,2084.85,67.74
2023-06-03,Printer,Accessories,Europe,17,641.4,10903.8,7512.37,6870.97,63.01
2024-09-06,Monitor,Accessories,Asia,5,192.26,961.3,724.97,532.71,55.42
2023-01-27,Router,Accessories,South America,19,432.35,8214.65,7227.89,6795.54,82.72
2023-09-23,Monitor,Accessories,South America,2,727.49,1454.98,1184.79,457.3,31.43
2023-02-06,Printer,Accessories,Europe,6,928.9,5573.4,4505.42,3576.52,64.17
2024-06-03,Smartphone,Electronics,Europe,2,826.36,1652.72,1088.44,262.08,15.86
2023-05-12,Router,Accessories,Asia,3,206.99,620.97,515.04,308.05,49.61
2023-07-07,Router,Accessories,Asia,16,605.87,9693.92,8570.66,7964.79,82.16
2023-08-16,Smartphone,Electronics,Europe,1,380.79,380.79,283.59,-97.2,-25.53
2024-03-06,Smartphone,Electronics,Asia,4,807.59,3230.36,2649.97,1842.38,57.03
2024-08-22,Smartphone,Electronics,South America,18,114.46,2060.28,1719.62,1605.16,77.91
2024-04-26,Laptop,Electronics,North America,3,110.28,330.84,268.35,158.07,47.78
2023-07-19,Printer,Accessories,North America,14,858.95,12025.3,7566.97,6708.02,55.78
2024-06-26,Smartphone,Electronics,South America,19,735.57,13975.83,10625.64,9890.07,70.77
2023-06-04,Tablet,Electronics,Europe,8,146.5,1172.0,880.69,734.19,62.64
2024-02-24,Printer,Accessories,South America,16,876.38,14022.08,9167.31,8290.93,59.13
2023-11-20,Router,Accessories,Europe,3,957.22,2871.66,1918.32,961.1,33.47
2024-05-14,Smartphone,Electronics,Europe,11,878.77,9666.47,6255.97,5377.2,55.63
2023-10-08,Tablet,Electronics,Europe,19,551.36,10475.84,6508.3,5956.94,56.86
2024-09-21,Monitor,Accessories,South America,16,983.72,15739.52,12409.01,11425.29,72.59
2023-02-08,Printer,Accessories,Europe,12,358.87,4306.44,2980.2,2621.33,60.87
2023-01-15,Smartphone,Electronics,Europe,12,659.16,7909.92,5538.64,4879.48,61.69
2024-11-23,Laptop,Electronics,Europe,14,644.95,9029.3,6087.01,5442.06,60.27
2024-12-11,Smartphone,Electronics,Asia,1,357.18,357.18,260.68,-96.5,-27.02
2023-03-08,Laptop,Electronics,Asia,15,443.3,6649.5,5948.74,5505.44,82.79
2024-04-11,Router,Accessories,Asia,7,669.05,4683.35,3089.59,2420.54,51.68
2024-12-04,Tablet,Electronics,Asia,19,806.74,15328.06,11960.96,11154.22,72.77
2024-01-03,Tablet,Electronics,Europe,18,947.15,17048.7,14907.71,13960.56,81.89
2023-01-20,Tablet,Electronics,Europe,8,160.75,1286.0,971.71,810.96,63.06
2023-08-05,Router,Accessories,North America,17,192.81,3277.77,2505.32,2312.51,70.55
2024-12-29,Router,Accessories,North America,9,284.0,2556.0,1932.11,1648.11,64.48
2024-10-17,Smartphone,Electronics,North America,7,337.85,2364.95,1564.65,1226.8,51.87
2023-02-19,Router,Accessories,North America,3,341.68,1025.04,703.42,361.74,35.29
2024-03-30,Monitor,Accessories,North America,7,254.9,1784.3,1566.0,1311.1,73.48
2023-09-16,Monitor,Accessories,Europe,9,182.86,1645.74,1283.21,1100.35,66.86
2024-12-12,Router,Accessories,North America,3,683.65,2050.95,1395.1,711.45,34.69
2024-03-06,Router,Accessories,North America,2,733.41,1466.82,1044.34,310.93,21.2
2023-10-04,Printer,Accessories,Europe,10,505.62,5056.2,4053.13,3547.51,70.16
2023-04-18,Printer,Accessories,North America,6,381.62,2289.72,1560.05,1178.43,51.47
2023-04-27,Laptop,Electronics,South America,2,879.49,1758.98,1554.97,675.48,38.4
2024-09-15,Tablet,Electronics,Asia,10,651.03,6510.3,4322.35,3671.32,56.39
2023-07-26,Smartphone,Electronics,South America,19,894.69,16999.11,11232.84,10338.15,60.82
2023-06-14,Laptop,Electronics,South America,4,731.03,2924.12,2351.09,1620.06,55.4
2024-12-05,Monitor,Accessories,Asia,1,113.86,113.86,88.23,-25.63,-22.51
2023-01-03,Laptop,Electronics,North America,17,587.79,9992.43,8812.28,8224.49,82.31
2024-08-10,Router,Accessories,South America,10,459.13,4591.3,3911.51,3452.38,75.19
2023-04-03,Printer,Accessories,North America,10,765.47,7654.7,5085.79,4320.32,56.44
2023-10-31,Smartphone,Electronics,South America,18,183.36,3300.48,2721.3,2537.94,76.9
2023-04-29,Laptop,Electronics,North America,17,592.19,10067.23,8065.89,7473.7,74.24
2023-05-22,Router,Accessories,Europe,18,742.65,13367.7,8387.13,7644.48,57.19
2024-01-02,Monitor,Accessories,Asia,17,836.53,14221.01,8746.0,7909.47,55.62
2024-01-17,Smartphone,Electronics,Europe,15,126.55,1898.25,1341.67,1215.12,64.01
2024-02-15,Monitor,Accessories,South America,14,343.73,4812.22,3244.73,2901.0,60.28
2024-01-30,Router,Accessories,South America,8,419.37,3354.96,2440.5,2021.13,60.24
2024-12-13,Router,Accessories,North America,16,399.73,6395.68,5535.39,5135.66,80.3
2023-04-17,Monitor,Accessories,South America,19,544.15,10338.85,7082.02,6537.87,63.24
2024-11-25,Monitor,Accessories,Europe,14,457.7,6407.8,4832.02,4374.32,68.27
2024-01-24,Smartphone,Electronics,North America,14,362.35,5072.9,4216.71,3854.36,75.98
2024-05-09,Monitor,Accessories,North America,17,928.69,15787.73,12240.77,11312.08,71.65
2024-08-13,Router,Accessories,Europe,2,667.22,1334.44,900.1,232.88,17.45
2024-06-15,Printer,Accessories,North America,6,484.84,2909.04,2131.64,1646.8,56.61
2024-11-08,Router,Accessories,Europe,11,942.65,10369.15,6420.6,5477.95,52.83
2023-12-21,Router,Accessories,South America,2,550.07,1100.14,919.2,369.13,33.55
2024-07-25,Printer,Accessories,North America,13,370.94,4822.22,3620.47,3249.53,67.39
2024-10-20,Tablet,Electronics,South America,11,541.99,5961.89,5235.33,4693.34,78.72
2023-06-19,Laptop,Electronics,South America,15,352.93,5293.95,4308.68,3955.75,74.72
2024-06-03,Tablet,Electronics,South America,6,200.69,1204.14,909.04,708.35,58.83
2023-08-29,Laptop,Electronics,South America,17,267.08,4540.36,3628.95,3361.87,74.04
2024-08-09,Monitor,Accessories,North America,7,748.51,5239.57,4442.87,3694.36,70.51
2024-04-02,Smartphone,Electronics,North America,19,199.39,3788.41,2601.71,2402.32,63.41
2024-10-31,Laptop,Electronics,North America,4,932.1,3728.4,2732.89,1800.79,48.3
2024-09-10,Printer,Accessories,Asia,13,377.02,4901.26,4284.37,3907.35,79.72
2024-07-29,Tablet,Electronics,South America,5,394.07,1970.35,1391.71,997.64,50.63
2024-01-08,Laptop,Electronics,Europe,10,344.35,3443.5,2305.54,1961.19,56.95
2023-12-06,Printer,Accessories,South America,17,192.31,3269.27,2346.74,2154.43,65.9
2024-04-08,Laptop,Electronics,North America,19,845.98,16073.62,11326.55,10480.57,65.2
2023-01-03,Smartphone,Electronics,Asia,9,872.94,7856.46,6309.38,5436.44,69.2
2024-07-14,Printer,Accessories,Asia,17,410.3,6975.1,5151.48,4741.18,67.97
2023-02-16,Tablet,Electronics,South America,9,244.33,2198.97,1763.78,1519.45,69.1
2024-02-24,Laptop,Electronics,Asia,13,749.74,9746.62,6973.13,6223.39,63.85
2023-07-20,Tablet,Electronics,North America,16,205.8,3292.8,2138.95,1933.15,58.71
2023-08-09,Monitor,Accessories,Europe,8,876.68,7013.44,5327.18,4450.5,63.46
2023-05-07,Monitor,Accessories,South America,1,410.71,410.71,297.46,-113.25,-27.57
2024-05-31,Tablet,Electronics,South America,10,893.5,8935.0,5686.67,4793.17,53.64
2024-03-19,Printer,Accessories,South America,9,290.7,2616.3,1813.88,1523.18,58.22
2023-07-01,Router,Accessories,Europe,7,151.96,1063.72,763.02,611.06,57.45
2023-04-17,Monitor,Accessories,Asia,19,402.11,7640.09,6301.68,5899.57,77.22
2024-01-29,Monitor,Accessories,Europe,8,987.62,7900.96,5723.62,4736.0,59.94
2024-02-12,Smartphone,Electronics,Asia,1,486.05,486.05,370.5,-115.55,-23.77
2023-05-17,Tablet,Electronics,South America,10,470.68,4706.8,3888.19,3417.51,72.61
2023-11-18,Router,Accessories,Europe,1,668.28,668.28,507.73,-160.55,-24.02
2023-08-03,Printer,Accessories,Asia,13,726.96,9450.48,7075.68,6348.72,67.18
2024-11-19,Tablet,Electronics,Europe,7,228.56,1599.92,1292.13,1063.57,66.48
2024-07-09,Router,Accessories,Asia,7,202.86,1420.02,1177.82,974.96,68.66
2023-12-27,Printer,Accessories,South America,3,283.88,851.64,640.72,356.84,41.9
2024-08-07,Router,Accessories,South America,1,116.31,116.31,97.45,-18.86,-16.22
2023-10-20,Monitor,Accessories,North America,3,604.61,1813.83,1430.26,825.65,45.52
2023-04-20,Laptop,Electronics,South America,16,108.98,1743.68,1424.64,1315.66,75.45
2023-10-01,Tablet,Electronics,Asia,9,536.59,4829.31,3380.94,2844.35,58.9
2023-05-30,Laptop,Electronics,Asia,9,578.42,5205.78,3920.83,3342.41,64.21
2024-07-08,Laptop,Electronics,Asia,19,869.48,16520.12,14286.07,13416.59,81.21
2023-04-15,Printer,Accessories,Europe,3,112.03,336.09,242.97,130.94,38.96
2024-02-03,Tablet,Electronics,Asia,8,113.96,911.68,623.83,509.87,55.93
2024-01-26,Monitor,Accessories,South America,2,160.28,320.56,276.71,116.43,36.32
2024-07-19,Laptop,Electronics,North America,12,263.55,3162.6,2602.58,2339.03,73.96
2023-07-27,Printer,Accessories,South America,15,159.91,2398.65,1905.72,1745.81,72.78
2024-10-10,Router,Accessories,Asia,13,505.43,6570.59,4954.29,4448.86,67.71
2024-07-13,Router,Accessories,Europe,15,308.39,4625.85,4083.53,3775.14,81.61
2023-10-29,Monitor,Accessories,Europe,10,389.05,3890.5,2591.2,2202.15,56.6
2023-07-11,Tablet,Electronics,North America,14,435.28,6093.92,3781.97,3346.69,54.92
2023-02-11,Monitor,Accessories,Asia,4,517.81,2071.24,1691.83,1174.02,56.68
2023-09-28,Tablet,Electronics,Europe,11,936.36,10299.96,7351.78,6415.42,62.29
2023-09-19,Laptop,Electronics,Asia,2,695.52,1391.04,1036.6,341.08,24.52
2024-12-27,Tablet,Electronics,North America,2,795.53,1591.06,1216.41,420.88,26.45
2024-11-08,Smartphone,Electronics,South America,5,568.97,2844.85,2005.79,1436.82,50.51
2024-07-17,Smartphone,Electronics,North America,17,113.17,1923.89,1273.95,1160.78,60.34
2024-06-22,Tablet,Electronics,Europe,12,768.03,9216.36,5999.52,5231.49,56.76
2023-03-11,Printer,Accessories,Europe,9,412.27,3710.43,2661.22,2248.95,60.61
2024-07-10,Printer,Accessories,South America,17,332.41,5650.97,4416.93,4084.52,72.28
2023-12-24,Tablet,Electronics,Europe,4,867.33,3469.32,2645.34,1778.01,51.25
2023-12-06,Smartphone,Electronics,Asia,10,376.21,3762.1,2725.61,2349.4,62.45
2024-09-25,Printer,Accessories,South America,11,343.85,3782.35,2498.91,2155.06,56.98
2024-10-26,Laptop,Electronics,North America,8,639.79,5118.32,4393.84,3754.05,73.35
2024-11-29,Smartphone,Electronics,South America,16,169.27,2708.32,2190.62,2021.35,74.63
2024-01-31,Smartphone,Electronics,Asia,12,499.47,5993.64,4406.72,3907.25,65.19
2024-06-13,Smartphone,Electronics,South America,17,344.75,5860.75,4733.77,4389.02,74.89
2023-02-14,Smartphone,Electronics,Europe,15,673.09,10096.35,8324.14,7651.05,75.78
2024-06-10,Laptop,Electronics,North America,1,575.85,575.85,488.19,-87.66,-15.22
2024-07-04,Printer,Accessories,North America,14,296.84,4155.76,3235.64,2938.8,70.72
2023-08-04,Router,Accessories,Europe,10,695.77,6957.7,5875.65,5179.88,74.45
2023-04-17,Tablet,Electronics,South America,4,515.37,2061.48,1845.01,1329.64,64.5
2023-02-25,Tablet,Electronics,Asia,6,473.72,2842.32,2462.98,1989.26,69.99
2023-03-14,Printer,Accessories,Europe,15,601.6,9024.0,5519.92,4918.32,54.5
2024-02-22,Monitor,Accessories,South America,18,805.4,14497.2,10564.04,9758.64,67.31
2023-03-06,Router,Accessories,North America,2,773.2,1546.4,1304.87,531.67,34.38
2024-01-02,Printer,Accessories,North America,6,185.43,1112.58,1000.95,815.52,73.3
2024-12-03,Smartphone,Electronics,North America,11,940.21,10342.31,8691.72,7751.51,74.95
2024-03-24,Monitor,Accessories,South America,10,105.15,1051.5,777.84,672.69,63.97
2024-04-30,Tablet,Electronics,Europe,15,373.63,5604.45,3897.51,3523.88,62.88
2024-02-05,Printer,Accessories,Asia,3,120.18,360.54,255.31,135.13,37.48
2023-11-02,Router,Accessories,Asia,19,465.41,8842.79,5342.01,4876.6,55.15
2024-07-20,Printer,Accessories,Europe,16,380.98,6095.68,3686.2,3305.22,54.22
2023-02-12,Laptop,Electronics,South America,14,924.94,12949.16,10512.74,9587.8,74.04
2024-07-14,Laptop,Electronics,Asia,4,135.04,540.16,459.75,324.71,60.11
2023-12-19,Tablet,Electronics,South America,11,104.81,1152.91,1016.32,911.51,79.06
2023-05-26,Tablet,Electronics,Europe,5,877.99,4389.95,3406.96,2528.97,57.61
2023-07-05,Router,Accessories,North America,11,708.51,7793.61,4999.84,4291.33,55.06
2024-04-17,Router,Accessories,North America,16,637.17,10194.72,8955.6,8318.43,81.6
2024-11-18,Laptop,Electronics,Asia,14,434.34,6080.76,4776.79,4342.45,71.41
2023-07-22,Router,Accessories,South America,5,996.07,4980.35,4454.1,3458.03,69.43
2024-01-01,Tablet,Electronics,Europe,4,874.94,3499.76,2584.05,1709.11,48.84
2023-10-19,Printer,Accessories,North America,6,633.84,3803.04,2342.69,1708.85,44.93
2023-11-22,Monitor,Accessories,South America,11,849.55,9345.05,6623.11,5773.56,61.78
2024-09-23,Router,Accessories,Asia,18,199.06,3583.08,3144.2,2945.14,82.2
2023-06-06,Printer,Accessories,Asia,12,550.32,6603.84,5331.05,4780.73,72.39
2024-03-14,Tablet,Electronics,North America,9,162.82,1465.38,1123.08,960.26,65.53
2023-09-10,Tablet,Electronics,South America,1,672.35,672.35,524.29,-148.06,-22.02
2024-01-04,Tablet,Electronics,Asia,15,283.75,4256.25,2607.82,2324.07,54.6
2024-04-18,Monitor,Accessories,Asia,18,700.98,12617.64,10740.26,10039.28,79.57
2024-10-23,Printer,Accessories,North America,1,648.73,648.73,525.4,-123.33,-19.01
2023-05-24,Printer,Accessories,Europe,12,509.39,6112.68,4925.05,4415.66,72.24
